261.63,0,500
261.63,500,500
392.00,1000,500
392.00,1500,500
440.00,2000,500
440.00,2500,500
392.00,3000,1000
349.23,4000,500
349.23,4500,500
329.63,5000,500
329.63,5500,500
293.66,6000,500
293.66,6500,500
261.63,7000,1000
392.00,8000,500
392.00,8500,500
349.23,9000,500
349.23,9500,500
329.63,10000,500
329.63,10500,500
293.66,11000,1000
392.00,12000,500
392.00,12500,500
349.23,13000,500
349.23,13500,500
329.63,14000,500
329.63,14500,500
293.66,15000,1000
261.63,16000,500
261.63,16500,500
392.00,17000,500
392.00,17500,500
440.00,18000,500
440.00,18500,500
392.00,19000,1000
349.23,20000,500
349.23,20500,500
329.63,21000,500
329.63,21500,500
293.66,22000,500
293.66,22500,500
261.63,23000,1000
